brand,country,sentiment
nike,USA,neutral
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,neutral
nike,USA,neutral
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,negative
nike,USA,positive
nike,USA,negative
nike,USA,positive
nike,USA,positive
nike,USA,positive
nike,USA,negative
nike,USA,neutral
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,neutral
nike,USA,negative
nike,USA,negative
nike,USA,neutral
nike,USA,neutral
nike,USA,negative
nike,USA,neutral
nike,USA,positive
nike,USA,positive
nike,USA,negative
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,negative
nike,USA,negative
nike,USA,positive
nike,USA,negative
nike,USA,neutral
nike,USA,negative
nike,USA,neutral
nike,USA,negative
nike,USA,positive
nike,USA,neutral
nike,USA,negative
nike,USA,positive
nike,USA,neutral
nike,USA,neutral
nike,USA,negative
nike,USA,neutral
nike,USA,positive
nike,USA,positive
nike,USA,positive
nike,USA,neutral
nike,USA,negative
nike,USA,neutral
nike,USA,negative
nike,USA,neutral
nike,USA,positive
nike,USA,negative
nike,USA,neutral
nike,USA,positive
nike,USA,positive
nike,USA,neutral
nike,USA,neutral
nike,USA,negative
nike,USA,negative
nike,USA,negative
nike,USA,positive
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,positive
nike,USA,negative
nike,USA,positive
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,positive
nike,USA,positive
nike,USA,negative
nike,USA,positive
nike,USA,positive
nike,USA,neutral
nike,USA,positive
nike,USA,negative
nike,USA,positive
nike,USA,neutral
nike,USA,neutral
nike,USA,neutral
nike,USA,negative
nike,USA,neutral
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,neutral
nike,USA,positive
nike,USA,positive
nike,USA,negative
nike,USA,neutral
nike,USA,negative
nike,USA,positive
nike,USA,neutral
nike,USA,negative
nike,USA,positive
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,negative
nike,USA,positive
nike,USA,neutral
nike,USA,neutral
nike,USA,positive
nike,USA,negative
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,neutral
nike,USA,positive
nike,USA,positive
nike,USA,negative
nike,USA,neutral
nike,USA,positive
nike,USA,positive
nike,USA,neutral
nike,USA,positive
nike,USA,positive
nike,USA,negative
nike,USA,negative
nike,USA,positive
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,positive
