epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1335,1.51226,3.60851,1.79197,0,0,0,0,2.21112,5.20286,2.84849,1.429e-05,1.429e-05,1.429e-05
2,40.7429,1.65152,4.02254,1.92523,0,0,0,0,2.1692,5.37881,2.78724,4.20212e-05,4.20212e-05,4.20212e-05
3,56.0404,1.78428,3.73807,2.23061,0,0,0,0,2.11931,5.43551,2.7574,6.86206e-05,6.86206e-05,6.86206e-05
4,66.4118,1.56642,4.21208,1.99989,0,0,0,0,2.17442,5.27492,2.67274,9.40882e-05,9.40882e-05,9.40882e-05
5,76.8552,1.84509,4.08642,1.7885,0.00104,0.25,0.00344,0.00069,2.15396,5.3153,2.61115,0.000118424,0.000118424,0.000118424
6,87.0095,1.63884,3.82391,1.8682,0.00095,0.25,0.00378,0.00068,2.17326,5.31397,2.59509,0.000141628,0.000141628,0.000141628
7,97.1846,1.36834,3.2208,1.74885,0.00088,0.25,0.00481,0.00048,2.25333,5.22528,2.61163,0.000163701,0.000163701,0.000163701
8,107.031,1.77748,3.48238,1.94531,0.00083,0.25,0.0048,0.00048,2.19465,5.28583,2.5394,0.000184641,0.000184641,0.000184641
9,116.955,1.57219,3.07105,1.68356,0.00083,0.25,0.00463,0.00046,2.10848,5.25944,2.4042,0.00020445,0.00020445,0.00020445
10,127.038,1.74498,3.44657,2.35897,0.00086,0.25,0.00391,0.00039,1.94958,5.32204,2.25065,0.000223127,0.000223127,0.000223127
11,137.15,1.55133,3.14262,1.63711,0.00089,0.25,0.00348,0.0007,2.01928,5.16427,2.26549,0.000240672,0.000240672,0.000240672
12,147.473,1.89944,4.0519,1.86513,0.00089,0.25,0.00348,0.0007,2.01928,5.16427,2.26549,0.000257086,0.000257086,0.000257086
13,158.174,1.89905,3.43913,1.63396,0.00088,0.25,0.00641,0.00064,1.99422,5.00228,2.185,0.000272367,0.000272367,0.000272367
14,168.639,1.31569,2.6082,1.56227,0.00173,0.5,0.01631,0.00215,1.93333,5.04847,2.13579,0.000286517,0.000286517,0.000286517
15,179.202,1.3009,3.14443,1.62298,0.00173,0.5,0.01631,0.00215,1.93333,5.04847,2.13579,0.000299536,0.000299536,0.000299536
16,189.866,1.39949,2.74024,1.49959,0.00166,0.5,0.01777,0.00247,1.78254,5.1085,2.10695,0.000311422,0.000311422,0.000311422
17,200.266,1.43493,2.90126,1.72634,0.00082,0.25,0.00624,0.00176,1.73068,5.055,2.00195,0.000322177,0.000322177,0.000322177
18,211.805,1.52652,2.63359,1.54193,0.00082,0.25,0.00624,0.00176,1.73068,5.055,2.00195,0.0003318,0.0003318,0.0003318
19,222.531,0.94399,2.16691,1.26405,0.00085,0.25,0.00611,0.00122,1.72076,5.29947,1.92934,0.000340291,0.000340291,0.000340291
20,232.313,0.99504,2.56322,1.41466,0.00085,0.25,0.00611,0.00122,1.72076,5.29947,1.92934,0.00034765,0.00034765,0.00034765
21,242.17,1.03992,2.26947,1.31796,0.00089,0.25,0.00626,0.00125,2.18339,5.0453,2.05702,0.000353878,0.000353878,0.000353878
22,252.012,1.13165,2.3418,1.52716,0.00089,0.25,0.00626,0.00125,2.18339,5.0453,2.05702,0.000358973,0.000358973,0.000358973
23,262.055,1.27303,2.63884,1.59857,0.00098,0.25,0.00909,0.00182,2.03289,5.26811,1.92897,0.000362937,0.000362937,0.000362937
24,271.945,1.33009,1.99539,1.36175,0.00098,0.25,0.00909,0.00182,2.03289,5.26811,1.92897,0.00036577,0.00036577,0.00036577
25,281.987,1.36949,2.03983,1.26583,0.00109,0.25,0.01403,0.00281,1.89145,5.38734,1.94841,0.00036747,0.00036747,0.00036747
26,292.445,1.04155,2.33938,1.45192,0.00109,0.25,0.01403,0.00281,1.89145,5.38734,1.94841,0.000368039,0.000368039,0.000368039
27,302.933,1.55644,2.70362,1.45543,0.00109,0.25,0.01403,0.00281,1.89145,5.38734,1.94841,0.000367476,0.000367476,0.000367476
28,312.793,1.25601,1.94545,1.25901,0.0012,0.25,0.02781,0.00556,1.88999,5.35665,1.97186,0.000365781,0.000365781,0.000365781
29,323.006,0.94024,2.18049,1.25186,0.0012,0.25,0.02781,0.00556,1.88999,5.35665,1.97186,0.000362955,0.000362955,0.000362955
30,333.214,1.26161,1.92906,1.27417,0.00128,0.25,0.02508,0.00502,1.91046,5.29168,2.0758,0.000358996,0.000358996,0.000358996
31,342.968,1.25536,2.36478,1.41374,0.00128,0.25,0.02508,0.00502,1.91046,5.29168,2.0758,0.000353906,0.000353906,0.000353906
32,352.926,1.47941,2.27782,1.37672,0.00128,0.25,0.02508,0.00502,1.91046,5.29168,2.0758,0.000347684,0.000347684,0.000347684
33,362.933,1.38071,2.3702,1.27306,0.00129,0.25,0.04158,0.01663,1.95787,5.23501,2.11606,0.000340331,0.000340331,0.000340331
34,373.143,1.38448,2.47144,1.77477,0.00129,0.25,0.04158,0.01663,1.95787,5.23501,2.11606,0.000331845,0.000331845,0.000331845
35,383.984,1.01605,2.14074,1.21709,0.00129,0.25,0.04158,0.01663,1.95787,5.23501,2.11606,0.000322228,0.000322228,0.000322228
36,394.086,0.97358,2.00318,1.23149,0.00129,0.25,0.03569,0.01071,2.00434,5.20602,2.20208,0.000311479,0.000311479,0.000311479
37,403.88,1.20555,2.21566,1.18911,0.00129,0.25,0.03569,0.01071,2.00434,5.20602,2.20208,0.000299598,0.000299598,0.000299598
38,413.721,1.44791,2.52269,1.53742,0.00129,0.25,0.03569,0.01071,2.00434,5.20602,2.20208,0.000286586,0.000286586,0.000286586
39,425.508,1.31823,2.55684,1.47893,0.00128,0.25,0.02283,0.00228,2.00217,5.51565,2.24934,0.000272442,0.000272442,0.000272442
40,436.302,1.00662,1.88073,1.22454,0.00128,0.25,0.02283,0.00228,2.00217,5.51565,2.24934,0.000257166,0.000257166,0.000257166
41,446.848,0.84748,2.64658,1.29739,0.00128,0.25,0.02283,0.00228,2.00217,5.51565,2.24934,0.000240758,0.000240758,0.000240758
42,457.483,0.9886,2.99709,1.44153,0,0,0,0,2.29693,5.40656,2.57299,0.000223218,0.000223218,0.000223218
43,467.733,1.19817,3.21241,1.21614,0,0,0,0,2.29693,5.40656,2.57299,0.000204547,0.000204547,0.000204547
44,477.862,0.9266,2.62073,1.26401,0,0,0,0,2.29693,5.40656,2.57299,0.000184744,0.000184744,0.000184744
45,487.982,0.84762,2.59666,1.35125,0,0,0,0,2.29693,5.40656,2.57299,0.000163809,0.000163809,0.000163809
46,498.38,1.44889,2.81797,1.88481,0,0,0,0,2.36717,5.39252,2.60469,0.000141743,0.000141743,0.000141743
47,508.907,1.06471,2.59986,1.28978,0,0,0,0,2.36717,5.39252,2.60469,0.000118544,0.000118544,0.000118544
48,520.079,0.91921,2.35514,1.37438,0,0,0,0,2.36717,5.39252,2.60469,9.4214e-05,9.4214e-05,9.4214e-05
49,529.903,0.76895,2.25401,0.98852,0,0,0,0,2.36717,5.39252,2.60469,6.8752e-05,6.8752e-05,6.8752e-05
50,539.585,0.95108,2.34505,1.29007,0.00122,0.25,0.00805,0.00161,2.17049,5.50798,2.36305,4.21584e-05,4.21584e-05,4.21584e-05
1,287.091,2.33869,3.56735,2.40118,0.00333,0.93103,0.07527,0.02056,2.51187,4.31051,2.76823,0.00052,0.00052,0.00052
1,160.518,2.33869,3.56735,2.40118,0.00333,0.93103,0.07527,0.02056,2.51187,4.31051,2.76823,0.00052,0.00052,0.00052
2,316.294,2.11793,3.30858,2.29163,0.0029,0.81034,0.22431,0.05737,2.39409,4.1994,2.86122,0.00103901,0.00103901,0.00103901
3,493.281,2.20577,3.19258,2.34588,0.35128,0.2069,0.16682,0.04944,2.52694,4.34854,3.23166,0.00153664,0.00153664,0.00153664
4,655.817,2.22252,3.27811,2.41332,0.06905,0.18966,0.05634,0.01269,2.46332,5.26331,3.32341,0.0018812,0.0018812,0.0018812
5,816.314,2.24582,3.11472,2.47773,0.05708,0.34483,0.04094,0.01102,2.58487,11.7991,3.46274,0.0018416,0.0018416,0.0018416
6,1450.84,2.27821,3.05992,2.46422,0.29872,0.2069,0.14174,0.04229,2.55951,6.45195,3.13993,0.001802,0.001802,0.001802
7,1608.49,2.1698,2.85042,2.33614,0.14077,0.2069,0.09208,0.02505,2.38627,12.4148,2.86953,0.0017624,0.0017624,0.0017624
8,1764.88,2.15865,2.73774,2.33487,0.14103,0.27586,0.10409,0.03442,2.27896,4.47605,2.71553,0.0017228,0.0017228,0.0017228
9,1924.45,2.14998,2.67561,2.31996,0.06542,0.37931,0.04169,0.01161,2.36232,3.72051,2.77447,0.0016832,0.0016832,0.0016832
10,2084.57,2.1098,2.6649,2.24899,0.20377,0.27586,0.13779,0.04657,2.4331,3.70691,2.8518,0.0016436,0.0016436,0.0016436
11,2242.93,2.21733,2.58421,2.30185,0.36901,0.37931,0.29587,0.0912,2.47085,2.80539,2.59844,0.001604,0.001604,0.001604
12,2960.26,2.14315,2.53267,2.21363,0.45615,0.49174,0.34514,0.10656,2.20472,4.28407,2.56264,0.0015644,0.0015644,0.0015644
13,3170.01,2.07276,2.40171,2.22068,0.56031,0.36207,0.3735,0.13507,2.29288,2.83851,2.64903,0.0015248,0.0015248,0.0015248
14,3329.88,2.07544,2.23379,2.23147,0.46382,0.32759,0.38635,0.13486,2.38032,2.45845,2.50012,0.0014852,0.0014852,0.0014852
15,3506.42,2.11432,2.2859,2.23169,0.40407,0.46552,0.37365,0.12467,2.21839,2.7329,2.48482,0.0014456,0.0014456,0.0014456
16,3683.52,2.06176,2.28244,2.2115,0.47344,0.44828,0.42423,0.14506,2.31721,2.28304,2.55851,0.001406,0.001406,0.001406
17,3850.56,1.98391,2.23846,2.14964,0.54749,0.37931,0.40665,0.13034,2.35942,2.47396,2.58007,0.0013664,0.0013664,0.0013664
18,4015.43,2.06104,2.22882,2.18861,0.51164,0.53448,0.47088,0.15471,2.27998,2.3142,2.50226,0.0013268,0.0013268,0.0013268
19,4188.11,2.02119,2.17831,2.14435,0.46745,0.58621,0.52216,0.17159,2.26296,2.59643,2.56411,0.0012872,0.0012872,0.0012872
20,4398.84,2.04068,2.12912,2.12696,0.52317,0.58621,0.53051,0.16274,2.22661,2.34469,2.47301,0.0012476,0.0012476,0.0012476
21,4580.04,1.94492,2.12335,2.06503,0.59963,0.51647,0.50065,0.17622,2.23263,2.13494,2.40131,0.001208,0.001208,0.001208
22,4733.77,1.97421,2.09507,2.09645,0.59876,0.62069,0.56431,0.19235,2.23479,2.03643,2.31733,0.0011684,0.0011684,0.0011684
23,4931.03,1.96883,2.00825,2.05698,0.50598,0.58621,0.51986,0.19516,2.22285,2.35683,2.28421,0.0011288,0.0011288,0.0011288
24,5107.69,1.94829,1.92551,2.05647,0.66258,0.58621,0.64458,0.24823,2.19076,1.92004,2.25097,0.0010892,0.0010892,0.0010892
25,5333.98,1.88164,1.90507,2.0247,0.6016,0.58621,0.60321,0.21553,2.13455,2.0869,2.30894,0.0010496,0.0010496,0.0010496
26,5639.09,1.90488,1.97499,2.04057,0.74856,0.53448,0.63635,0.23333,2.14601,1.98398,2.32312,0.00101,0.00101,0.00101
27,5945.16,1.89535,1.88369,2.06238,0.64261,0.52711,0.53625,0.19039,2.26838,2.10802,2.40274,0.0009704,0.0009704,0.0009704
28,7042.79,1.96934,1.98065,2.05589,0.70291,0.60345,0.65466,0.2632,2.15263,1.86101,2.32506,0.0009308,0.0009308,0.0009308
29,7223.85,1.91295,1.83465,2.00506,0.61602,0.58621,0.62477,0.21634,2.19023,2.05141,2.35752,0.0008912,0.0008912,0.0008912
30,7545.6,1.85499,1.81481,1.96184,0.63283,0.58621,0.55681,0.18208,2.15046,2.11023,2.35017,0.0008516,0.0008516,0.0008516
31,7889.1,1.87702,1.8136,1.9876,0.71752,0.56934,0.62165,0.20402,2.20586,1.88634,2.36733,0.000812,0.000812,0.000812
32,9455.63,1.87159,1.77313,1.97617,0.57904,0.56897,0.5665,0.19859,2.27657,1.89246,2.43939,0.0007724,0.0007724,0.0007724
33,9660.7,1.88184,1.74774,1.98456,0.73369,0.63793,0.65845,0.2285,2.20726,1.84011,2.37668,0.0007328,0.0007328,0.0007328
34,9864.02,1.82788,1.70864,1.96716,0.70228,0.61012,0.67554,0.24452,2.12574,2.00809,2.30353,0.0006932,0.0006932,0.0006932
35,10176.9,1.854,1.80328,2.02568,0.56476,0.71598,0.64329,0.2294,2.16564,2.05241,2.36646,0.0006536,0.0006536,0.0006536
36,10487.2,1.83128,1.7591,1.95994,0.62254,0.54037,0.58033,0.20499,2.14257,1.90191,2.36121,0.000614,0.000614,0.000614
37,10735.1,1.76717,1.70751,1.93168,0.66264,0.60966,0.68004,0.22982,2.14377,1.74223,2.34031,0.0005744,0.0005744,0.0005744
38,10911.9,1.80696,1.67353,1.9177,0.76862,0.7069,0.70131,0.23258,2.17338,1.65532,2.29417,0.0005348,0.0005348,0.0005348
39,11139.2,1.84504,1.67984,1.96022,0.70233,0.51724,0.63107,0.22453,2.13198,1.69037,2.24312,0.0004952,0.0004952,0.0004952
40,11450.4,1.81979,1.68204,1.9262,0.65385,0.61881,0.65536,0.22965,2.18252,1.70848,2.28888,0.0004556,0.0004556,0.0004556
41,11757.9,1.74081,1.45606,1.94028,0.72344,0.55172,0.63234,0.21988,2.22558,1.85179,2.35934,0.000416,0.000416,0.000416
42,11998.3,1.74626,1.3693,1.93093,0.77406,0.64982,0.66417,0.25016,2.16879,1.78118,2.32808,0.0003764,0.0003764,0.0003764
43,12191,1.69071,1.31472,1.94542,0.75877,0.65084,0.67587,0.25537,2.13155,1.69853,2.32452,0.0003368,0.0003368,0.0003368
44,12499.9,1.68429,1.24865,1.94521,0.69853,0.63793,0.64939,0.21764,2.23072,1.78145,2.39871,0.0002972,0.0002972,0.0002972
45,12809.1,1.73687,1.34975,1.96723,0.71346,0.7069,0.6543,0.21979,2.28695,1.79685,2.4734,0.0002576,0.0002576,0.0002576
46,13088.7,1.64078,1.22982,1.90974,0.70698,0.72414,0.66972,0.22673,2.28896,1.75595,2.47598,0.000218,0.000218,0.000218
47,13267.3,1.63068,1.25775,1.90388,0.6613,0.74138,0.68127,0.23663,2.27603,1.6955,2.42231,0.0001784,0.0001784,0.0001784
48,13442.1,1.6232,1.17489,1.88094,0.82299,0.60345,0.67948,0.23843,2.29282,1.64301,2.41412,0.0001388,0.0001388,0.0001388
49,13616.4,1.62974,1.19156,1.86099,0.65713,0.72702,0.6904,0.2424,2.29029,1.62526,2.41573,9.92e-05,9.92e-05,9.92e-05
